"observation_id","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_length","installment_rate","personal_status","other_debtors","residence_history","property","age","installment_plan","housing","existing_credits","default","dependents","telephone","foreign_worker","job"
1,"< 0 DM",6,"critical","radio/tv",1169,"unknown","> 7 yrs",4,"single male","none",4,"real estate",67,"none","own",2,1,1,"yes","yes","skilled employee"
2,"1 - 200 DM",48,"repaid","radio/tv",5951,"< 100 DM","1 - 4 yrs",2,"female","none",2,"real estate",22,"none","own",1,2,1,"none","yes","skilled employee"
3,"unknown",12,"critical","education",2096,"< 100 DM","4 - 7 yrs",2,"single male","none",3,"real estate",49,"none","own",1,1,2,"none","yes","unskilled resident"
4,"< 0 DM",42,"repaid","furniture",7882,"< 100 DM","4 - 7 yrs",2,"single male","guarantor",4,"building society savings",45,"none","for free",1,1,2,"none","yes","skilled employee"
5,"< 0 DM",24,"delayed","car (new)",4870,"< 100 DM","1 - 4 yrs",3,"single male","none",4,"unknown/none",53,"none","for free",2,2,2,"none","yes","skilled employee"
6,"unknown",36,"repaid","education",9055,"unknown","1 - 4 yrs",2,"single male","none",4,"unknown/none",35,"none","for free",1,1,2,"yes","yes","unskilled resident"
7,"unknown",24,"repaid","furniture",2835,"501 - 1000 DM","> 7 yrs",3,"single male","none",4,"building society savings",53,"none","own",1,1,1,"none","yes","skilled employee"
8,"1 - 200 DM",36,"repaid","car (used)",6948,"< 100 DM","1 - 4 yrs",2,"single male","none",2,"other",35,"none","rent",1,1,1,"yes","yes","mangement self-employed"
9,"unknown",12,"repaid","radio/tv",3059,"> 1000 DM","4 - 7 yrs",2,"divorced male","none",4,"real estate",61,"none","own",1,1,1,"none","yes","unskilled resident"
10,"1 - 200 DM",30,"critical","car (new)",5234,"< 100 DM","unemployed",4,"married male","none",2,"other",28,"none","own",2,2,1,"none","yes","mangement self-employed"
11,"1 - 200 DM",12,"repaid","car (new)",1295,"< 100 DM","0 - 1 yrs",3,"female","none",1,"other",25,"none","rent",1,2,1,"none","yes","skilled employee"
12,"< 0 DM",48,"repaid","business",4308,"< 100 DM","0 - 1 yrs",3,"female","none",4,"building society savings",24,"none","rent",1,2,1,"none","yes","skilled employee"
13,"1 - 200 DM",12,"repaid","radio/tv",1567,"< 100 DM","1 - 4 yrs",1,"female","none",1,"other",22,"none","own",1,1,1,"yes","yes","skilled employee"
14,"< 0 DM",24,"critical","car (new)",1199,"< 100 DM","> 7 yrs",4,"single male","none",4,"other",60,"none","own",2,2,1,"none","yes","unskilled resident"
15,"< 0 DM",15,"repaid","car (new)",1403,"< 100 DM","1 - 4 yrs",2,"female","none",4,"other",28,"none","rent",1,1,1,"none","yes","skilled employee"
16,"< 0 DM",24,"repaid","radio/tv",1282,"101 - 500 DM","1 - 4 yrs",4,"female","none",2,"other",32,"none","own",1,2,1,"none","yes","unskilled resident"
17,"unknown",24,"critical","radio/tv",2424,"unknown","> 7 yrs",4,"single male","none",4,"building society savings",53,"none","own",2,1,1,"none","yes","skilled employee"
18,"< 0 DM",30,"fully repaid","business",8072,"unknown","0 - 1 yrs",2,"single male","none",3,"other",25,"bank","own",3,1,1,"none","yes","skilled employee"
19,"1 - 200 DM",24,"repaid","car (used)",12579,"< 100 DM","> 7 yrs",4,"female","none",2,"unknown/none",44,"none","for free",1,2,1,"yes","yes","mangement self-employed"
20,"unknown",24,"repaid","radio/tv",3430,"501 - 1000 DM","> 7 yrs",3,"single male","none",2,"other",31,"none","own",1,1,2,"yes","yes","skilled employee"
21,"unknown",9,"critical","car (new)",2134,"< 100 DM","1 - 4 yrs",4,"single male","none",4,"other",48,"none","own",3,1,1,"yes","yes","skilled employee"
22,"< 0 DM",6,"repaid","radio/tv",2647,"501 - 1000 DM","1 - 4 yrs",2,"single male","none",3,"real estate",44,"none","rent",1,1,2,"none","yes","skilled employee"
23,"< 0 DM",10,"critical","car (new)",2241,"< 100 DM","0 - 1 yrs",1,"single male","none",3,"real estate",48,"none","rent",2,1,2,"none","no","unskilled resident"
24,"1 - 200 DM",12,"critical","car (used)",1804,"101 - 500 DM","0 - 1 yrs",3,"single male","none",4,"building society savings",44,"none","own",1,1,1,"none","yes","skilled employee"
25,"unknown",10,"critical","furniture",2069,"unknown","1 - 4 yrs",2,"married male","none",1,"other",26,"none","own",2,1,1,"none","no","skilled employee"
26,"< 0 DM",6,"repaid","furniture",1374,"< 100 DM","1 - 4 yrs",1,"single male","none",2,"real estate",36,"bank","own",1,1,1,"yes","yes","unskilled resident"
27,"unknown",6,"fully repaid","radio/tv",426,"< 100 DM","> 7 yrs",4,"married male","none",4,"other",39,"none","own",1,1,1,"none","yes","unskilled resident"
28,"> 200 DM",12,"fully repaid this bank","radio/tv",409,"> 1000 DM","1 - 4 yrs",3,"female","none",3,"real estate",42,"none","rent",2,1,1,"none","yes","skilled employee"
29,"1 - 200 DM",7,"repaid","radio/tv",2415,"< 100 DM","1 - 4 yrs",3,"single male","guarantor",2,"real estate",34,"none","own",1,1,1,"none","yes","skilled employee"
30,"< 0 DM",60,"delayed","business",6836,"< 100 DM","> 7 yrs",3,"single male","none",4,"unknown/none",63,"none","own",2,2,1,"yes","yes","skilled employee"
31,"1 - 200 DM",18,"repaid","business",1913,"> 1000 DM","0 - 1 yrs",3,"married male","none",3,"real estate",36,"bank","own",1,1,1,"yes","yes","skilled employee"
32,"< 0 DM",24,"repaid","furniture",4020,"< 100 DM","1 - 4 yrs",2,"single male","none",2,"other",27,"stores","own",1,1,1,"none","yes","skilled employee"
33,"1 - 200 DM",18,"repaid","car (new)",5866,"101 - 500 DM","1 - 4 yrs",2,"single male","none",2,"other",30,"none","own",2,1,1,"yes","yes","skilled employee"
34,"unknown",12,"critical","business",1264,"unknown","> 7 yrs",4,"single male","none",4,"unknown/none",57,"none","rent",1,1,1,"none","yes","unskilled resident"
35,"> 200 DM",12,"repaid","furniture",1474,"< 100 DM","0 - 1 yrs",4,"female","none",1,"building society savings",33,"bank","own",1,1,1,"yes","yes","mangement self-employed"
36,"1 - 200 DM",45,"critical","radio/tv",4746,"< 100 DM","0 - 1 yrs",4,"single male","none",2,"building society savings",25,"none","own",2,2,1,"none","yes","unskilled resident"
37,"unknown",48,"critical","education",6110,"< 100 DM","1 - 4 yrs",1,"single male","none",3,"unknown/none",31,"bank","for free",1,1,1,"yes","yes","skilled employee"
38,"> 200 DM",18,"repaid","radio/tv",2100,"< 100 DM","1 - 4 yrs",4,"single male","co-applicant",2,"real estate",37,"stores","own",1,2,1,"none","yes","skilled employee"
39,"> 200 DM",10,"repaid","domestic appliances",1225,"< 100 DM","1 - 4 yrs",2,"single male","none",2,"other",37,"none","own",1,1,1,"yes","yes","skilled employee"
40,"1 - 200 DM",9,"repaid","radio/tv",458,"< 100 DM","1 - 4 yrs",4,"single male","none",3,"real estate",24,"none","own",1,1,1,"none","yes","skilled employee"
41,"unknown",30,"repaid","radio/tv",2333,"501 - 1000 DM","> 7 yrs",4,"single male","none",2,"other",30,"bank","own",1,1,1,"none","yes","mangement self-employed"
42,"1 - 200 DM",12,"repaid","radio/tv",1158,"501 - 1000 DM","1 - 4 yrs",3,"divorced male","none",1,"other",26,"none","own",1,1,1,"yes","yes","skilled employee"
43,"1 - 200 DM",18,"delayed","repairs",6204,"< 100 DM","1 - 4 yrs",2,"single male","none",4,"real estate",44,"none","own",1,1,2,"yes","yes","unskilled resident"
44,"< 0 DM",30,"critical","car (used)",6187,"101 - 500 DM","4 - 7 yrs",1,"married male","none",4,"other",24,"none","rent",2,1,1,"none","yes","skilled employee"
